data_source,feature_description,feature_name,product_line,referrer_url,url
html,Display your records on a map.,Marker Layers,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Speaks to which objects can displayed on the map (options are standard or custom).,Mappable Objects,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Consolidate and customize your customer view, and empower administrators to manage duplicate records easily.",Person and Business Accounts,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Manage the sales agreements lifecycle from inception to renewal, capturing and tracking agreement metrics, viewing planned and actuals, and collaborating right on the agreement itself.",Sales Agreement Management,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,"Define, display, track, and analyze the metrics that matter most.",Custom Metric Definition and Tracking,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Specify collaborators assigned to each deal.,Sales Teams,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Create a calendar from any object to be able to visualize and act on important sales data.,Calendar All,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,N/A,Web and Email Case Capture,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,N/A,Case Email Auto-Response,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Let your partners register leads via your website with integrated web-to-lead capture.,Lead Registration,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Improve campaign ROI metrics. Allocate revenue share across campaign touches on an opportunity.,Campaign Influence,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Use templated dashboards or customize your own to provide instant visibility into your applications’ performance.,Performance Management,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Get immediate help for severe support cases.,Severity 1 Support Cases,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Give your employees the fastest, most productive path to working in Salesforce. With Console, users can save and reload commonly accessed records, open records fast with split view, toggle between records and list views without reloading the page, and more.",Lightning Console,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Manage read/write permissions for different user profiles, and control which fields different users see on every record.",Custom Profiles and Page Layouts,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Establish roles and permissions that set object/data access for different users.,Roles and Permissions,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Track where your field reps are on their store visit route.,Live Tracking: Mobile,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Create a custom work task for a store.,Custom Work Tasks,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Supercharge productivity with customized apps, record types, profiles, and page layouts specific to your line of business.",Roles-Based Console Apps,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,Gain visibility into customers’ and households’ financial accounts and holdings to deliver relevant products and services for their needs.,Financial Accounts and Rollups,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,Improve predictability with unified forecasts across your business that track planned revenues and product volumes.,Account-Based Forecasting,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,"Adjust forecasts based on changing customer and market demands, tracking edit history so you can see who changed what, when they made changes, and the rationale behind those changes.",Audit Trail for Collaborative Forecasting,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,"Boost productivity in fast-paced sales environments with everything a rep needs to close business faster, all on one screen.",Sales Console App,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,N/A,Case Escalation Rules and Queues,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,"Get a complete view of prospects and customers, including activity history, key contacts, and communications.",Lead-Contact Account Management,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,"Get a complete view of your customers, including activity history, key contacts, customer communications, and internal account discussions.",Account and Contact Management,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Get help with performance degradation and functionality impairments.,Severity 2 Support Cases,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,Get help for moderate or minor impact support cases.,Severity 3–4 Support Cases,MuleSoft Anypoint Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/integration/
html,"Tailor business processes, picklist values, and page layouts.",Record Types (Per Object),Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Get a complete view of your customers, including activity history, key contacts, customer communications, and internal account discussions.",Accounts and Contacts,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,"Access knowledge articles and FAQ pages to provide excellent customer service, faster.",Knowledge (Read-Only),Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Use templates to create action plans and reuse them to streamline tasks for subsequent visits.,Action Plans,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Route and navigate to your store visits.,Routing,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Build deeper relationships by recording and tracking progress toward client life goals.,Financial Goals,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,Quickly calculate the total assets under management (AUM) at both the client and household level.,Wallet Share Calculations,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Our new formula builder lets you create custom forecasting algorithms based on sales agreement, opportunity, and order information - and even customize it with different formulas for quantity, revenue, and time period calculations.",Custom Forecasting Algorithm,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Track and manage sales orders in one central location.,Sales Orders,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Boost agent productivity and delivery of everything an agent needs to close cases faster all on one screen.,Service Console Apps,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,"Track key details about every deal, such as stage, quotes, products, and more.",Opportunity Management,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Make more informed, consistent decisions with real-time configurable reports and dashboards.",Customizable Reports and Dashboards,Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Get the complete view of all customer engagement in one place.,"Task Management, Activity Feed",Platform,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/platform/
html,Schedule store visits based on your priorities and store needs.,Basic Priority Scheduling,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Modify priorities with a more complex KPI as the planning horizon changes.,Advanced Priority Scheduling,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Link customers to multiple households, trusts, and business groups.",Household and Relationship Groups,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Track, filter, and qualify new prospective customers.",Lead Management,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Route hot leads to the right reps and view the impact of your marketing activities on your sales pipeline.,Lead Assignment and Routing,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Save your product catalogue and assign prices for every scenario.,Products and Price Books,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,"Access knowledge articles and FAQ pages to provide excellent customer service, faster.",Knowledge (Read-Only),Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Deliver more efficient support by routing cases to the right agent.,Omni-Channel Routing (Basic),Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Easily personalize your team’s sales milestones with a sales path.,Customizable Sales Process,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Listen for emerging trends and conversations, then analyze those data sources for deep insights.",Social Listening and Analysis,Social Studio,https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/social/
html,"Price per 10,000 additional contacts: $100/month for Growth, $150/month for Plus, $300/month for Advanced, $400/month for Premium",Contact Blocks,Pardot,https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/pardot/
html,Deliver premium commerce experiences fast with clicks to code connected with the most widely used integration platform.,Powerful Commerce Platform,Salesforce B2C Commerce,https://www.salesforce.com/editions-pricing/commerce-cloud/,https://www.salesforce.com/editions-pricing/commerce-cloud/b2c/
html,Maintain your mapped routes for the duration of your planned trip to minimize the time it takes to reroute your visits.,Continuous Routing,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Display aggregated shape layer information by territory.,Territory Layers,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Ensure audit accuracy with checklist templates based on store type and location to meet auditing requirements.,Inventory Audit,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Link customers with households, trusts, and business groups, and visualize key relationships and centers of influence.",Relationship Builder and Map,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,View multiple layers of relationships and related key information in one place to identify areas of opportunity and drive contextual action.,Actionable Relationship Center,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Improve CRM data quality by preventing duplicates, so data is more usable, reliable, and relevant.",Duplicate Blocking,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Generate leads with the prospecting data from your company’s website visitors.,Web-to-Lead Capture,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,"Track key details about every deal, such as stage, quotes, products, and more.",Opportunity Management,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,Use opportunity splits and split types to help track the total effort of a sales team and more easily divide commissions based on participation.,Opportunity Splits,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,N/A,Omni-Channel Supervisor,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,"Create and manage content to enable agents and customers to find the right answer, faster.",Knowledge (Read-Write),Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Get the complete view of all customer engagement in one place.,"Task Management, Activity Feed",Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Get a complete view of customers when they are individual people, including activity history, and service and sales engagement.",Person Accounts,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,"Shared content, subscribers, and data.",Multiple Business Unit Support,"Email, Mobile, and Web Marketing",https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/email/
html,"Rely on Einstein to recognize the tone and sentiment of the social conversation toward your brand whether negative, positive, or neutral.",Sentiment Insights,Social Studio,https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/social/
html,Automatically identify and remove known spam sites and posts to cut through the noise on social media using Einstein.,Spam Detection,Social Studio,https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/social/
html,"Send beautiful, targeted email messages.",Unlimited Email Marketing,Pardot,https://www.salesforce.com/editions-pricing/marketing-cloud/,https://www.salesforce.com/editions-pricing/marketing-cloud/pardot/
html,"Master mobile commerce with a full suite of mobile-first capabilities, including responsive design, data-driven mobile UX, and one-touch payment.",Mobile Commerce,Salesforce B2C Commerce,https://www.salesforce.com/editions-pricing/commerce-cloud/,https://www.salesforce.com/editions-pricing/commerce-cloud/b2c/
html,Convert more shoppers with seamless B2C ecommerce transactions through your commerce site.,Site,Salesforce B2C Commerce,https://www.salesforce.com/editions-pricing/commerce-cloud/,https://www.salesforce.com/editions-pricing/commerce-cloud/b2c/
html,Collaborate with retail channel partners to ensure that they have everything they need to support promotions in store.,Promotional Compliance,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,Review store performance and quotas for field reps and help prioritize store visits.,Reporting/Analytics,Consumer Goods Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/consumer-goods-cloud/
html,"Customize client and household profiles to access the exact information you need, including financial accounts, personal goals, relationships, interactions, and more.",Client and Household Profiles,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,"Easily find the information you need by segmenting clients or households by total financial accounts, last interactions, age, birthday, and more.",Client and Household List Filtering,Financial Services Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/financial-services-cloud/
html,Create targeted email lists for events. Provide updates and more for your prospects and customers. Automatically track which leads or contacts received emails.,Mass Email,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Manage and track marketing campaigns across all channels. Make more informed decisions and see their impact on your sales pipeline.,Campaign Management,Manufacturing Cloud,https://www.salesforce.com/editions-pricing/industries/,https://www.salesforce.com/editions-pricing/manufacturing-cloud/
html,Model your sales territories into a logical and flexible structure that maps the right sales reps to the right customers.,Enterprise Territory Management,Sales and Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-and-service-cloud/
html,N/A,Case Milestone Tracker,Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,Easily integrate Service Cloud with all of the most popular telephony systems.,Computer Telephony Integration (CTI),Service Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/service-cloud/
html,"Boost productivity in fast-paced sales environments with everything a rep needs to close business faster, all on one screen.",Sales Console App,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
html,Specify collaborators assigned to each deal.,Sales Teams,Sales Cloud,https://www.salesforce.com/editions-pricing/overview/,https://www.salesforce.com/editions-pricing/sales-cloud/
